"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2015","3,765.00","3,727.00","3,770.50","3,656.50","","1.13%"
"10/01/2015","3,723.00","3,989.00","4,004.50","3,600.00","","-6.62%"
"09/01/2015","3,987.00","3,825.50","4,013.50","3,824.50","","4.26%"
"08/01/2015","3,824.00","3,683.00","3,849.50","3,668.50","","3.86%"
"07/01/2015","3,682.00","3,630.00","3,684.00","3,615.50","","1.46%"
"06/01/2015","3,629.00","3,600.50","3,645.50","3,591.50","","0.83%"
"05/01/2015","3,599.00","3,529.00","3,606.00","3,529.00","","2.01%"
"04/01/2015","3,528.00","3,559.50","3,562.00","3,486.50","","-0.84%"
"03/01/2015","3,558.00","3,519.00","3,607.00","3,511.50","","1.17%"
"02/01/2015","3,517.00","3,448.50","3,524.50","3,427.00","","2.00%"
"01/01/2015","3,448.00","3,371.50","3,473.00","3,371.50","","2.31%"
"12/01/2014","3,370.00","3,322.50","3,523.00","3,322.50","","1.48%"
"11/01/2014","3,321.00","3,290.50","3,329.00","3,288.50","","0.97%"
"10/01/2014","3,289.00","3,317.50","3,336.00","3,257.50","","-0.81%"
"09/01/2014","3,316.00","3,182.50","3,337.00","3,182.50","","4.24%"
"08/01/2014","3,181.00","3,152.00","3,229.00","3,152.00","","0.95%"
"07/01/2014","3,151.00","3,228.00","3,271.00","3,125.50","","-2.29%"
"06/01/2014","3,225.00","3,192.00","3,297.50","3,189.50","","1.51%"
"05/01/2014","3,177.00","3,148.00","3,178.50","3,087.50","","0.95%"
"04/01/2014","3,147.00","3,092.50","3,175.00","3,065.50","","1.81%"
"03/01/2014","3,091.00","3,160.50","3,178.00","3,062.50","","-2.15%"
"02/01/2014","3,159.00","3,332.50","3,338.00","3,152.00","","-4.94%"
"01/01/2014","3,323.00","3,313.50","3,351.00","3,272.50","","0.36%"
"12/01/2013","3,311.00","3,257.00","3,351.50","3,184.50","","1.72%"
"11/01/2013","3,255.00","3,069.00","3,274.00","3,069.00","","6.13%"
"10/01/2013","3,067.00","3,153.00","3,165.00","2,973.50","","-2.63%"
"09/01/2013","3,150.00","2,973.00","3,180.00","2,972.00","","6.06%"
"08/01/2013","2,970.00","2,798.00","2,983.00","2,798.00","","6.22%"
"07/01/2013","2,796.00","2,702.50","2,802.00","2,702.00","","3.56%"
"06/01/2013","2,700.00","2,666.50","2,715.50","2,663.50","","1.31%"
"05/01/2013","2,665.00","2,647.00","2,672.50","2,644.50","","0.72%"
"04/01/2013","2,646.00","2,645.50","2,661.50","2,633.50","","0.04%"
"03/01/2013","2,645.00","2,631.00","2,666.50","2,631.00","","0.57%"
"02/01/2013","2,630.00","2,640.00","2,662.00","2,614.50","","-0.30%"
"01/01/2013","2,638.00","2,623.50","2,667.00","2,618.00","","0.61%"
"12/01/2012","2,622.00","2,611.50","2,652.00","2,611.00","","0.46%"
"11/01/2012","2,610.00","2,615.00","2,625.00","2,609.00","","-0.15%"
"10/01/2012","2,614.00","2,605.50","2,623.00","2,605.50","","0.38%"
"09/01/2012","2,604.00","2,596.00","2,612.50","2,572.00","","0.39%"
"08/01/2012","2,594.00","2,571.50","2,609.00","2,570.50","","0.93%"
"07/01/2012","2,570.00","2,572.50","2,599.00","2,533.50","","0.59%"
"06/01/2012","2,555.00","2,559.00","2,587.50","2,530.50","","-0.04%"
