"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2017","1,940.75","1,939.94","1,946.01","1,934.26","","0.13%"
"01/01/2017","1,938.14","1,941.69","1,957.16","1,912.72","","-0.04%"
"12/01/2016","1,938.97","1,972.60","1,973.32","1,921.63","","-1.41%"
"11/01/2016","1,966.62","1,923.39","1,991.36","1,922.74","","2.17%"
"10/01/2016","1,924.88","1,953.81","1,953.81","1,914.85","","-1.53%"
"09/01/2016","1,954.69","1,987.48","1,989.31","1,936.62","","-1.55%"
"08/01/2016","1,985.48","1,972.17","1,995.90","1,966.14","","0.62%"
"07/01/2016","1,973.15","1,982.54","1,984.54","1,951.31","","-0.67%"
"06/01/2016","1,986.41","2,075.46","2,098.87","1,976.04","","-4.19%"
"05/01/2016","2,073.34","2,040.45","2,089.78","2,022.84","","1.85%"
"04/01/2016","2,035.74","2,046.83","2,049.16","2,023.76","","-0.94%"
"03/01/2016","2,055.04","2,036.93","2,064.96","1,993.69","","0.78%"
"02/01/2016","2,039.05","2,092.44","2,101.40","2,028.85","","-2.61%"
"01/01/2016","2,093.69","2,129.00","2,140.15","2,091.31","","-1.35%"
"12/01/2015","2,122.34","2,162.74","2,183.48","2,091.56","","-1.81%"
"11/01/2015","2,161.55","2,164.42","2,167.74","2,119.61","","-0.13%"
"10/01/2015","2,164.38","2,302.94","2,314.33","2,083.22","","-6.03%"
"09/01/2015","2,303.18","2,206.57","2,315.34","2,205.01","","4.57%"
"08/01/2015","2,202.52","2,175.21","2,206.75","2,128.56","","1.13%"
"07/01/2015","2,178.01","2,152.88","2,178.83","2,138.97","","1.34%"
"06/01/2015","2,149.31","2,131.23","2,157.95","2,128.86","","0.75%"
"05/01/2015","2,133.22","2,093.41","2,134.70","2,090.17","","2.11%"
"04/01/2015","2,089.04","2,108.24","2,109.45","2,063.59","","-0.90%"
"03/01/2015","2,108.06","2,069.51","2,120.06","2,062.47","","2.30%"
"02/01/2015","2,060.70","2,033.60","2,064.97","2,012.93","","1.70%"
"01/01/2015","2,026.24","2,002.06","2,055.01","1,994.02","","1.60%"
"12/01/2014","1,994.33","1,991.65","2,089.52","1,989.55","","0.43%"
"11/01/2014","1,985.71","1,982.36","1,996.52","1,973.91","","0.48%"
